id,default,seniority,home,age,marital,job,expenses,income,assets,debt,amount,savings
1,0,9,rent,30,married,freelance,73,129,0,0,800,4.2
2,0,17,rent,58,widow,fixed,48,131,0,0,1000,4.98
3,1,10,owner,46,married,freelance,90,200,3000,0,2000,1.98
4,0,0,rent,24,single,fixed,63,182,2500,0,900,7.93333
5,0,0,rent,26,single,fixed,46,107,0,0,310,7.08387
6,0,1,owner,36,married,fixed,75,214,3500,0,650,12.8308
7,0,29,owner,44,married,fixed,75,125,10000,0,1600,1.875
8,0,9,parents,27,single,fixed,35,80,0,0,200,2.7
9,0,0,owner,32,married,freelance,90,107,15000,0,1200,0.85
10,1,0,parents,41,married,partime,90,80,0,0,1200,-0.4
11,0,6,owner,34,married,freelance,60,125,4000,0,1150,2.71304
12,0,7,owner,29,married,fixed,60,121,3000,0,650,3.37846
13,0,8,owner,30,married,fixed,75,199,5000,2500,1500,3.96
14,0,19,priv,37,married,fixed,75,170,3500,260,600,5.544
15,1,0,other,21,single,partime,35,50,0,0,400,0.675
16,0,0,owner,68,married,fixed,75,131,4162,0,900,1.49333
17,0,15,priv,52,single,freelance,35,330,16500,0,1500,4.72
18,0,33,rent,68,married,freelance,65,200,5000,2000,600,4.6
19,1,0,ignore,36,married,partime,45,130,750,0,1100,3.70909
20,0,1,parents,31,single,fixed,35,137,0,0,1250,4.896
21,1,2,rent,25,single,fixed,46,107,0,0,1500,2.44
22,0,5,owner,22,single,fixed,45,324,10000,0,1100,15.2182
23,1,1,owner,45,married,partime,105,112,2000,500,600,0.2
24,0,27,rent,41,married,fixed,74,140,0,0,950,4.16842
25,0,26,owner,51,married,fixed,45,143,3500,0,1350,4.35556
26,0,12,owner,54,married,fixed,60,130,4000,0,700,3.6
27,0,19,owner,43,single,fixed,75,180,4000,0,1000,6.3
28,0,15,owner,43,married,fixed,75,251,4000,0,1800,3.52
29,1,3,owner,23,married,fixed,75,85,5000,0,600,0.4
30,0,4,owner,29,married,fixed,45,150,5000,3300,1100,3.14182
31,1,0,owner,23,single,partime,45,122,2500,0,400,6.93
32,0,14,priv,51,married,partime,75,198,1000,0,450,6.56
33,0,10,owner,39,married,freelance,75,150,3000,0,1000,2.7
34,0,12,parents,35,single,fixed,35,170,0,0,1100,4.41818
35,0,32,owner,62,married,freelance,45,119,8500,0,700,2.53714
36,0,10,owner,56,married,freelance,45,208,13500,0,500,7.824
37,0,7,owner,32,married,fixed,75,115,3000,0,800,2.4
38,1,1,rent,36,married,fixed,70,99,0,0,950,1.64842
39,0,30,owner,64,married,fixed,45,120,14000,0,1125,4
40,1,5,rent,31,single,fixed,44,90,0,0,1300,1.69846
41,0,24,owner,42,married,fixed,75,137,4000,0,900,4.13333
42,0,0,owner,61,widow,others,35,230,50000,0,950,12.3158
43,1,0,owner,32,married,fixed,45,142,7000,3000,1250,3.216
44,1,2,owner,43,married,partime,75,71,3000,0,1500,-0.16
45,0,1,parents,26,single,partime,35,120,0,0,1150,4.43478
46,0,1,owner,49,widow,freelance,35,233,15900,4500,2100,4.37143
47,0,15,owner,47,married,fixed,75,289,3500,0,1500,5.136
48,1,2,rent,27,separated,fixed,48,128,0,0,450,6.4
49,0,25,owner,52,married,freelance,60,150,15000,0,750,4.32
50,0,8,owner,28,married,fixed,60,145,4000,1000,1600,2.8125
51,0,5,owner,31,married,fixed,75,90,4000,0,900,1
52,0,0,rent,32,married,fixed,105,301,0,0,1200,9.8
53,0,5,owner,51,married,freelance,75,200,2100,1200,900,4.52
54,0,3,parents,37,married,freelance,60,150,500,0,500,2.16
55,1,1,rent,29,married,freelance,85,100,0,0,1000,0.72
56,0,7,parents,26,single,fixed,35,100,0,0,1000,3.9
57,0,4,parents,27,single,fixed,45,100,5000,0,500,3.3
58,0,6,owner,63,married,fixed,60,155,4000,0,600,3.8
59,0,14,owner,55,married,fixed,90,715,5000,0,800,18.75
60,0,3,rent,28,married,fixed,70,245,0,0,1830,5.7377
61,0,8,rent,31,married,fixed,90,150,0,0,1100,2.61818
62,1,4,parents,27,single,fixed,35,70,0,0,600,2.45
63,0,22,owner,40,married,fixed,75,190,3000,0,1000,2.76
64,0,2,owner,35,married,fixed,75,152,3000,0,1000,2.772
65,0,15,priv,43,married,fixed,75,126,3000,0,1350,2.26667
66,0,10,owner,34,married,freelance,75,181,4000,0,600,3.18
67,0,4,owner,37,married,fixed,60,185,3000,0,1200,6.25
68,0,9,owner,53,married,fixed,45,170,2500,0,850,8.82353
69,0,22,rent,46,married,fixed,93,176,7500,0,2000,2.49
70,0,18,parents,36,married,freelance,60,238,0,0,900,7.12
71,0,1,priv,46,married,fixed,60,115,5500,800,1000,2.82
72,0,14,owner,43,married,fixed,45,200,9000,0,600,12.4
73,0,8,owner,31,married,freelance,75,411,9000,4000,800,13.32
74,0,5,owner,43,married,fixed,75,93,3000,0,700,0.617143
75,0,19,rent,38,married,fixed,86,108,0,0,1000,1.32
76,0,14,owner,37,married,freelance,90,500,4000,0,500,9.84
77,0,0,other,46,married,others,45,45,0,0,900,0
78,0,9,rent,55,married,fixed,70,250,30000,0,1750,3.70286
79,0,29,owner,56,married,fixed,45,100,3000,0,900,2.93333
80,0,10,owner,55,married,fixed,60,70,4000,0,1000,0.36
81,0,10,parents,52,married,fixed,60,150,0,0,550,5.89091
82,1,1,owner,29,married,fixed,60,70,4500,0,850,0.423529
83,0,11,owner,39,divorced,fixed,35,263,2500,0,1000,13.68
84,0,10,owner,38,married,freelance,75,200,9000,0,1000,7.5
85,0,5,owner,24,single,fixed,35,78,6000,3000,500,0.624
86,0,10,rent,28,single,fixed,47,120,0,0,600,7.3
87,0,27,owner,53,married,fixed,60,125,10000,0,1426,2.73492
88,1,0,rent,25,single,partime,40,50,0,0,1040,0.576923
89,1,25,rent,62,married,fixed,60,146,0,0,1000,5.16
90,0,3,parents,29,single,fixed,35,70,0,0,950,2.21053
91,1,9,parents,32,single,fixed,35,105,0,0,1490,2.81879
92,0,4,rent,21,married,freelance,101,413,6000,0,750,14.976
93,0,6,rent,38,married,freelance,95,500,25000,21400,800,8.595
94,0,9,rent,56,married,freelance,140,350,0,0,1400,7.2
95,0,3,owner,41,married,freelance,75,200,3000,0,1000,4.5
96,1,22,other,46,married,fixed,45,138,0,0,250,13.392
97,0,3,owner,54,widow,others,35,80,4000,0,950,2.84211
98,0,30,owner,51,married,freelance,120,208,15000,0,1500,2.112
99,0,8,rent,52,married,fixed,89,137,4000,0,800,3.6
100,0,38,owner,57,married,freelance,45,58,12000,0,1500,0.416
101,0,2,rent,33,married,fixed,73,130,0,0,1100,3.10909
102,0,4,owner,33,married,fixed,75,123,6000,1000,600,3.8
103,1,0,rent,29,married,partime,78,180,0,0,650,5.64923
104,1,2,other,23,single,fixed,35,140,0,0,1950,2.58462
105,0,8,owner,33,married,fixed,75,315,4500,0,400,14.4
106,1,1,rent,24,married,partime,76,164,0,0,900,3.52
107,1,6,parents,28,married,freelance,90,325,7000,0,1200,11.75
108,0,5,owner,27,married,fixed,45,135,5000,1400,1600,2.85
109,1,13,parents,33,single,fixed,35,109,0,0,350,7.61143
110,0,11,rent,32,married,fixed,79,185,0,0,950,6.69474
111,0,10,owner,39,married,fixed,45,217,9000,3000,1500,2.272
112,1,20,owner,51,married,freelance,90,300,12500,2500,1340,8.28358
113,1,0,owner,39,single,freelance,35,77,4000,0,1000,1.512
114,0,13,owner,29,married,fixed,60,253,3000,0,670,13.8269
115,1,2,owner,32,married,fixed,75,101,1500,400,1200,0.66
116,1,3,owner,40,married,freelance,35,200,10000,0,800,7.425
117,0,12,owner,47,married,fixed,75,124,3500,0,460,3.83478
118,0,20,owner,66,married,fixed,45,143,10000,0,950,2.47579
119,0,3,priv,39,separated,freelance,35,250,4000,1500,700,13.7143
120,0,27,owner,50,married,fixed,75,135,5500,1000,600,5
121,0,4,rent,25,married,fixed,57,115,0,0,900,3.86667
122,1,1,owner,27,married,partime,75,160,4000,3000,1800,1.83333
123,0,18,rent,54,married,fixed,66,214,0,0,1300,6.83077
124,0,12,rent,42,married,fixed,114,390,0,0,1100,15.0545
125,0,12,owner,35,separated,freelance,45,500,200000,0,2380,9.17647
126,1,0,parents,23,single,partime,35,95,0,0,1400,2.57143
127,0,12,owner,52,married,fixed,75,200,12000,0,1550,4.83871
128,0,0,parents,22,single,partime,35,85,0,0,650,1.84615
129,0,10,other,48,married,fixed,90,214,0,0,1000,2.232
130,0,2,owner,25,married,fixed,75,140,3000,0,950,4.10526
131,1,10,other,26,married,fixed,45,60,0,0,1400,0.642857
132,0,8,owner,28,married,fixed,75,180,4000,0,1300,4.84615
133,0,20,owner,62,married,freelance,60,300,24000,9000,600,7.5
134,0,0,rent,33,married,freelance,65,200,0,0,700,11.5714
135,0,16,parents,41,married,fixed,75,242,0,0,1300,7.70769
136,0,4,owner,29,married,partime,60,155,5000,2500,900,4.66667
137,1,1,rent,37,single,fixed,45,100,0,0,1150,2.86957
138,0,0,owner,31,married,fixed,60,105,3500,0,1100,2.45455
139,0,15,owner,50,married,freelance,45,166,2000,0,500,2.904
140,1,13,rent,42,separated,fixed,47,120,0,0,800,5.475
141,0,19,owner,33,married,fixed,60,115,6700,2000,1000,1.26
142,0,15,owner,54,married,freelance,90,350,150000,0,3800,1.64211
143,0,40,owner,58,married,freelance,75,214,50000,0,1000,5.004
144,0,9,rent,40,married,fixed,119,442,6000,1947,900,20.2353
145,1,12,parents,31,separated,fixed,35,101,0,0,1300,3.04615
146,1,0,owner,35,married,fixed,105,122,5200,2000,850,-0.127059
147,0,14,owner,64,married,freelance,60,250,10000,0,700,16.2857
148,0,10,parents,29,single,freelance,35,90,0,0,600,2.2
149,0,2,owner,33,married,fixed,45,160,6000,0,1200,4.6
150,0,15,owner,35,married,freelance,60,300,4000,0,300,14.4
151,1,1,parents,28,single,fixed,35,83,0,0,1000,2.304
152,0,27,owner,59,married,freelance,45,200,11000,0,1100,8.45455
153,1,0,other,25,married,partime,60,60,0,0,1300,0
154,1,0,parents,23,single,partime,35,205,0,0,1400,7.28571
155,0,3,owner,30,married,freelance,75,133,12000,900,1500,0.784
156,0,8,rent,36,married,fixed,78,179,0,0,900,4.04
157,0,3,owner,25,single,freelance,35,69,4000,0,1200,1.36
158,0,5,other,22,single,fixed,45,195,0,0,700,12.8571
159,0,9,owner,45,married,fixed,75,112,4000,0,500,1.776
160,0,4,owner,47,married,freelance,90,210,15000,0,1550,2.32258
161,0,14,priv,36,married,fixed,75,155,3500,200,1100,3.40364
162,0,3,owner,36,single,freelance,35,394,16000,0,1500,8.616
163,0,22,rent,60,married,fixed,60,149,0,0,200,16.02
164,0,20,rent,59,married,fixed,57,120,0,0,800,3.78
165,1,6,owner,58,married,freelance,60,400,86000,0,930,17.5484
166,0,23,owner,37,married,fixed,45,165,5000,0,900,1.6
167,1,5,owner,32,married,freelance,75,125,6000,0,600,3
168,0,8,rent,26,single,fixed,42,74,0,0,600,2.56
169,0,5,owner,40,married,fixed,75,86,4900,0,1300,0.507692
170,0,20,owner,55,married,fixed,45,185,5000,0,1000,6.72
171,0,11,rent,30,married,fixed,77,165,0,0,1350,3.91111
172,0,25,parents,43,married,fixed,75,110,7000,0,1275,1.48235
173,1,2,rent,28,married,fixed,74,138,0,0,1400,2.74286
174,0,20,owner,47,married,freelance,75,300,5000,0,600,9
175,0,9,owner,29,single,fixed,35,147,3500,0,1886,2.13786
176,1,0,rent,48,separated,freelance,35,348,25300,15500,1200,7.9
177,0,18,parents,34,married,fixed,60,112,6550,0,600,5.2
178,0,20,owner,53,married,freelance,75,350,6500,0,800,20.625
179,0,6,owner,44,married,fixed,45,110,15000,0,300,2.6
180,1,0,owner,49,married,partime,45,75,2000,0,900,1.6
181,0,0,rent,51,married,fixed,113,230,0,0,950,4.43368
182,0,14,ignore,34,married,fixed,75,85,8000,0,1400,0.428571
183,0,10,owner,42,married,freelance,75,210,4000,120,1200,5.352
184,0,19,owner,34,married,fixed,75,125,5000,0,1200,2.5
185,0,11,owner,46,married,fixed,75,149,3500,0,1400,3.17143
186,0,1,owner,31,married,fixed,75,201,2500,96,1100,5.45629
187,1,13,other,31,married,fixed,60,105,0,0,1200,2.25
188,0,4,rent,33,married,fixed,78,183,0,0,600,2.1
189,1,9,rent,30,single,fixed,46,113,0,0,700,2.29714
190,0,1,owner,27,married,fixed,45,126,3000,3700,200,5.28
191,0,4,owner,48,married,freelance,120,300,5000,0,1000,6.48
192,0,2,owner,33,married,fixed,75,160,6000,0,1000,5.1
193,0,2,owner,44,married,fixed,90,160,7500,0,500,1.68
194,1,0,other,48,married,freelance,45,89,0,0,1600,0.99
195,0,21,owner,57,married,freelance,60,95,8000,0,1000,2.1
196,0,12,owner,34,married,fixed,75,125,5500,4000,950,0.631579
197,0,9,rent,38,married,fixed,87,120,0,0,1177,1.68224
198,0,2,rent,35,married,fixed,126,359,0,0,870,9.64138
199,0,24,owner,52,married,fixed,45,80,4000,0,1200,1.75
200,0,1,parents,28,single,partime,35,67,0,0,1050,1.82857
201,0,15,owner,46,married,fixed,90,148,12000,0,1000,2.784
202,0,19,owner,56,married,fixed,45,298,8000,0,1700,8.92941
203,0,10,owner,52,married,fixed,75,318,4500,700,700,8.09143
204,0,19,owner,35,married,fixed,75,185,4000,0,1100,6
205,0,10,owner,45,married,freelance,60,39,9500,250,750,-1.128
206,0,4,parents,29,married,fixed,45,194,0,0,1200,5.96
207,1,1,parents,22,single,fixed,35,80,3000,0,1500,1.8
208,0,2,owner,33,married,fixed,75,147,2000,900,400,3.78
209,0,5,owner,41,married,freelance,105,156,10000,0,800,1.53
210,0,11,owner,37,married,fixed,75,178,3000,0,1000,3.708
211,0,23,owner,46,married,fixed,75,130,4000,0,400,3.3
212,1,4,other,19,single,partime,35,63,0,0,1000,1.008
213,1,5,parents,22,single,fixed,35,88,0,0,750,2.544
214,0,15,parents,31,married,fixed,45,140,0,0,1200,4.75
215,1,1,priv,44,married,partime,45,115,2000,0,750,5.6
216,0,9,owner,48,married,fixed,60,83,2500,0,1100,1.25455
217,0,4,priv,31,married,fixed,60,144,3000,0,1000,3.024
218,0,20,owner,53,married,freelance,45,200,100000,0,1000,3.72
219,0,10,other,36,married,fixed,90,172,3000,0,1100,4.47273
220,0,2,priv,46,married,freelance,105,200,4000,500,900,6
221,0,15,owner,37,married,fixed,60,318,7000,0,1900,8.14737
222,0,8,owner,34,married,fixed,60,177,6300,4000,1370,3.37226
223,0,4,owner,36,married,fixed,60,133,4000,0,1000,3.504
224,0,4,owner,64,single,others,35,150,9000,0,984,7.0122
225,0,1,owner,27,single,fixed,35,208,9000,0,1000,6.228
226,0,10,owner,26,married,fixed,75,145,1434,0,300,7
227,0,32,owner,53,married,fixed,60,157,5000,0,2000,2.91
228,0,12,owner,50,married,fixed,45,190,9500,200,1800,4.76667
229,1,0,parents,21,single,partime,35,86,0,0,1000,3.06
230,0,20,parents,40,single,fixed,35,90,0,0,600,2.2
231,0,6,rent,49,married,partime,100,100,30000,0,1500,0
232,1,4,rent,40,married,fixed,56,214,0,0,800,4.74
233,0,1,rent,37,single,fixed,45,100,0,0,1150,2.86957
234,0,2,rent,25,married,fixed,57,117,0,0,800,3.6
235,0,25,owner,40,married,fixed,45,110,4000,0,455,2.57143
236,0,1,rent,22,married,fixed,62,168,0,0,1200,3.18
237,0,10,owner,49,married,freelance,45,150,9000,0,1700,2.96471
238,0,2,owner,34,married,fixed,45,166,7000,0,600,12.1
239,1,13,rent,49,married,freelance,90,283,0,0,700,6.61714
240,1,10,rent,43,married,freelance,90,149,0,0,1350,2.62222
241,0,20,owner,42,married,freelance,90,250,4500,0,1500,3.84
242,0,10,owner,28,married,partime,60,120,2500,1500,600,3.6
243,0,1,owner,30,married,freelance,35,236,3500,1000,1000,11.46
244,1,1,owner,25,separated,partime,45,277,6000,3500,1700,6.95294
245,1,0,parents,22,single,partime,35,55,0,0,950,1.26316
246,0,5,parents,27,single,fixed,35,200,4000,0,600,9.9
247,0,3,parents,26,single,fixed,45,235,0,0,800,14.25
248,1,0,owner,28,married,fixed,45,80,1500,0,1260,1.33333
249,0,6,owner,35,married,freelance,45,200,7000,0,1540,4.83117
250,0,21,priv,51,married,fixed,45,140,3000,0,1200,4.75
251,0,5,rent,24,married,fixed,73,125,0,0,700,4.45714
252,0,12,rent,34,married,fixed,94,185,0,0,1200,4.55
253,0,13,owner,34,married,fixed,105,190,2500,300,1100,3.13091
254,0,10,owner,49,married,freelance,60,150,23000,0,1200,4.5
255,0,6,owner,28,married,fixed,60,102,5000,0,700,3.6
256,0,18,rent,57,married,fixed,77,170,4000,0,1300,4.29231
257,0,15,owner,63,married,fixed,60,315,3500,266,1000,15.1404
258,1,0,rent,37,married,others,88,130,0,0,250,2.016
259,0,2,owner,27,married,fixed,45,156,6000,0,700,5.70857
260,0,18,rent,39,married,fixed,93,177,0,0,800,6.3
